Date,Time,Label,Symbol,VIX
2025-12-02,10:57:13,09:20,NSE:INDIAVIX-INDEX,11.51
2025-12-03,15:15:45,09:20,NSE:INDIAVIX-INDEX,11.21
2025-12-03,15:20:20,09:20,NSE:INDIAVIX-INDEX,11.22
2025-12-04,09:20:00,09:20,NSE:INDIAVIX-INDEX,10.98
2025-12-04,22:43:56,09:20,NSE:INDIAVIX-INDEX,10.82
2025-12-05,09:20:00,09:20,NSE:INDIAVIX-INDEX,10.8
2025-12-08,09:20:00,09:20,NSE:INDIAVIX-INDEX,10.73
2025-12-09,09:20:00,09:20,NSE:INDIAVIX-INDEX,11.23
2025-12-10,09:20:00,09:20,NSE:INDIAVIX-INDEX,10.89
2025-12-11,09:20:00,09:20,NSE:INDIAVIX-INDEX,10.74
2025-12-12,09:20:00,09:20,NSE:INDIAVIX-INDEX,10.14
2025-12-15,09:20:00,09:20,NSE:INDIAVIX-INDEX,10.58
2025-12-16,09:20:00,09:20,NSE:INDIAVIX-INDEX,10.28
2025-12-17,09:20:00,09:20,NSE:INDIAVIX-INDEX,10.01
2025-12-18,09:20:00,09:20,NSE:INDIAVIX-INDEX,9.83
2025-12-19,09:20:00,09:20,NSE:INDIAVIX-INDEX,9.68
2025-12-22,09:20:00,09:20,NSE:INDIAVIX-INDEX,9.85
2025-12-23,09:20:00,09:20,NSE:INDIAVIX-INDEX,9.68
2025-12-24,09:20:02,09:20,NSE:INDIAVIX-INDEX,9.43
2025-12-25,09:20:00,09:20,NSE:INDIAVIX-INDEX,9.19
2025-12-26,09:20:00,09:20,NSE:INDIAVIX-INDEX,9.31
2025-12-29,09:20:00,09:20,NSE:INDIAVIX-INDEX,9.68
2025-12-30,09:20:00,09:20,NSE:INDIAVIX-INDEX,9.89
2025-12-31,09:20:00,09:20,NSE:INDIAVIX-INDEX,9.63
2025-12-31,11:06:54,09:20,NSE:INDIAVIX-INDEX,9.38
2026-01-01,09:20:00,09:20,NSE:INDIAVIX-INDEX,9.39
2026-01-01,16:58:43,09:20,NSE:INDIAVIX-INDEX,9.19
